HITId,Input.hit,item,prediction,annotation
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-ad-task1,no,alfred
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-ad-task2,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-ad-task3,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-ad-task4,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-ad-task5,no,hans
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-blank-task1,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-blank-task2,no,anneliese
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-blank-task3,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-blank-task4,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-blank-task5,yes,gustav
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-captcha-task1,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-captcha-task2,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-captcha-task3,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-captcha-task4,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-captcha-task5,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-cutoff-task1,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-cutoff-task2,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-cutoff-task3,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-cutoff-task4,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-cutoff-task5,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-error-task1,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-error-task2,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-error-task3,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-error-task4,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-error-task5,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-loading-task1,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-loading-task2,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-loading-task3,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-loading-task4,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-loading-task5,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-popup-task1,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-popup-task2,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-popup-task3,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-popup-task4,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-popup-task5,not,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-pornographic-task1,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-pornographic-task2,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-pornographic-task3,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-pornographic-task4,no,
3PEG1BH7AERHQ20G8N7IQWEIQIKKBX,82,Answer.question-pornographic-task5,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-ad-task1,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-ad-task2,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-ad-task3,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-ad-task4,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-ad-task5,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-blank-task1,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-blank-task2,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-blank-task3,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-blank-task4,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-blank-task5,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-captcha-task1,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-captcha-task2,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-captcha-task3,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-captcha-task4,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-captcha-task5,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-cutoff-task1,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-cutoff-task2,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-cutoff-task3,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-cutoff-task4,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-cutoff-task5,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-error-task1,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-error-task2,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-error-task3,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-error-task4,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-error-task5,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-loading-task1,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-loading-task2,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-loading-task3,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-loading-task4,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-loading-task5,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-popup-task1,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-popup-task2,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-popup-task3,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-popup-task4,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-popup-task5,not,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-pornographic-task1,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-pornographic-task2,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-pornographic-task3,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-pornographic-task4,no,
32LAQ1JNT9PVPKZ92N25WDT2YGITUT,53,Answer.question-pornographic-task5,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-ad-task1,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-ad-task2,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-ad-task3,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-ad-task4,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-ad-task5,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-blank-task1,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-blank-task2,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-blank-task3,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-blank-task4,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-blank-task5,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-captcha-task1,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-captcha-task2,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-captcha-task3,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-captcha-task4,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-captcha-task5,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-cutoff-task1,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-cutoff-task2,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-cutoff-task3,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-cutoff-task4,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-cutoff-task5,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-error-task1,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-error-task2,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-error-task3,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-error-task4,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-error-task5,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-loading-task1,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-loading-task2,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-loading-task3,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-loading-task4,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-loading-task5,no,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-popup-task1,not,
341H3G5YF0EBVAWSA8D3TU6C3N0Z0C,28,Answer.question-popup-task2,not,
